Company,Title,Description,Published Date
ADITYA BIRLA CAPITAL LTD.,"Stocks that will see action today: October 28, 2024","Buzzing Stocks Today, Stocks that will see action today: 28 October 2024 -  ITD Cementation, Adani Enterprises, Piramal Pharma, Soha, Axis Bank, Max Financial, Thermax, L&T, KRN Heat Exchanger, Kings Infra, Godrej Properties, Sprayking,  Bharti Airtel, Sun Ph…",2024-10-28
ADITYA BIRLA CAPITAL LTD.,"Q2 results today: Airtel, Sun Pharma among 173 companies to announce earnings on Monday","Today, 173 companies will disclose their Q2 earnings, including Airtel, Sun Pharma, and Adani Power. Bharti Airtel is anticipated to post robust performance with significant net profit growth, while Sun Pharma is expected to see healthy revenue growth driven …",2024-10-28
ADITYA BIRLA CAPITAL LTD.,JSW Energy emerges top bidder for KSK Mahanadi Power,"JSW Energy emerged as the top bidder for KSK Mahanadi Power, offering Rs 15,985 crore and surpassing Adani Power’s Rs 15,885 crore bid. The auction saw six companies participate with JSW Energy securing the deal. The resolution requires further approval from …",2024-10-28
ADITYA BIRLA CAPITAL LTD.,JSW Energy emerges top bidder for KSK Mahanadi Power,"JSW Energy emerged as the top bidder for KSK Mahanadi Power, offering Rs 15,985 crore and surpassing Adani Power’s Rs 15,885 crore bid. The auction saw six companies participate with JSW Energy securing the deal. The resolution requires further approval from …",2024-10-28
ADITYA BIRLA CAPITAL LTD.,"TARC raises Rs 1,000 crore to refinance debt","Real estate developer TARC Ltd raised Rs 1,000 crore from a consortium led by Kotak Mahindra Bank, at 12.75% interest, to refinance existing debt and secure Rs 250 crore additional working capital. Projects TARC Kailasa and TARC Tripundra's cash flows anchor …",2024-10-25
ADITYA BIRLA CAPITAL LTD.,"Share Market Highlights October 25, 2024: Sensex plunges 663 pts, Nifty settles below 24,200; Indusind Bank sinks 19%","Sensex, Nifty updates on October 25, 2024: Declining for the fifth straight session, equity benchmark Sensex on Friday plunged about 660 points to crash below the 80,000 level due to widespread selling pressure tracking massive foreign capital outflows and mu…",2024-10-25
ADITYA BIRLA CAPITAL LTD.,Qatar's Nebras deal with Aditya Birla Group's green arm on hold,The deal to acquire up to 49% for $400 million in Aditya Birla Renewables hits a bump due to valuation mismatch,2024-10-25
ADITYA BIRLA CAPITAL LTD.,Rare Rabbit posts 69% jump in FY24 revenue to Rs 637 crore,"Bengaluru-based Radhamani Textiles, which owns men’s fashion brand Rare Rabbit and women’s brand Rareism, closed FY24 with Rs 637 crore in operating revenue – a year-on-year jump of 69%.",2024-10-24
ADITYA BIRLA CAPITAL LTD.,"Share Market Highlights October 23, 2024: Sensex, Nifty end in red; Bajaj Finance gains nearly 5%","Sensex, Nifty updates on October 23, 2024: Indian equity indices ended lower on Wednesday. The Sensex fell 138.74 points to 80,081.98, while the Nifty dropped 36.60 points to 24,435.50. IT stocks gained over 2 per cent, while capital goods, power, and pharma …",2024-10-23
ADITYA BIRLA CAPITAL LTD.,"Ambuja Cements acquires 46.8% stake in Orient Cement for ₹8,100 cr","Ambuja Cements acquires 46.8% stake in Orient Cement for ₹8,100 crore, aiming to increase market share and capacity.",2024-10-22
ADITYA BIRLA CAPITAL LTD.,"Ambuja Cements acquires 46.8% stake in Orient Cement for ₹8,100 cr","Ambuja Cements acquires 46.8% stake in Orient Cement for ₹8,100 crore, aiming to increase market share and capacity.",2024-10-22
ADITYA BIRLA CAPITAL LTD.,"Hyundai Share Price Highlights October 23, 2024: Hyundai Motor India shares close 4% higher","Hyundai Stocks, Hyundai Share Price, Hyundai Motors India IPO listing 23 Oct 2024: Shares of Hyundai Motor India gained 4% on Wednesday after closing 5% lower on its listing date. The stock was listed at a discount of 1.3% against the issue price of ₹1,960. B…",2024-10-22
ADITYA BIRLA CAPITAL LTD.,"Hyundai Share Price & IPO Listing Highlights October 22, 2024: Hyundai Motor India shares tumble 5% post-listing","Hyundai Stocks, Hyundai Shares, Hyundai Motors India IPO listing 22 Oct 2024: Shares of Hyundai Motor India dipped 5% after listing at a discount of 1.3% against the issue price. The stock closed at ₹1,845 on the NSE, and at ₹1,846.95 on the BSE today. Broker…",2024-10-22
ADITYA BIRLA CAPITAL LTD.,Hyundai Share Price Live: Hyundai Motor India shares rise 1% on day two,"Hyundai Stocks Today, Hyundai Share Price Live, Hyundai Motors India IPO listing Live October 23, 2024: Shares of Hyundai Motor India gained 1% in early trade on Wednesday after closing 5% lower on its listing date. The stock closed at ₹1,845 on the NSE, and …",2024-10-22
ADITYA BIRLA CAPITAL LTD.,"Share market highlights: Sensex, Nifty drops over 1% amid foreign fund exodus; Hyundai shares fall 4.6%","Sensex, Nifty updates on 22 October 2024: Equity benchmark indices Sensex and Nifty fell over 1% on Tuesday due to a widespread sell-off driven by massive foreign fund outflows and sluggish global markets. The BSE Sensex dropped 930.55 points, or 1.15%, to cl…",2024-10-22
ADITYA BIRLA CAPITAL LTD.,"Share Market Highlights October 21, 2024: Sensex closes at 81,151; Nifty falls 73 points amid record FII outflows","Sensex, Nifty updates on October 21, 2024: Equity benchmark indices Sensex and Nifty gave up initial gains and ended lower on Monday tracking a sharp fall in Kotak Mahindra Bank and relentless foreign fund outflows. The 30-share Sensex declined 73.48 points o…",2024-10-21
ADITYA BIRLA CAPITAL LTD.,NBFC co-lending biz under scrutiny; P2P startups eye revamp,Happy Friday! Fintechs with co-lending partnerships may face stress after RBI's action on Navi and DMI Finance. This and more in today’s ETtech Morning Dispatch.,2024-10-18
ADITYA BIRLA CAPITAL LTD.,"Zepto’s additional fundraise; Infosys, Wipro Q2 results",Zepto is in talks with domestic investors for another fundraise which may value the company at $4.6 billion. This and more in today’s ETtech Top 5.,2024-10-17
ADITYA BIRLA CAPITAL LTD.,Aditya Birla Digital Fashion invests Rs 75 crore in Virat Kohli-backed Wrogn,"According to the firm, the investment aims to expand ABDFVL’s portfolio of digital-first brands. “This infusion is in continuation of its earlier investment on certain milestone based valuations,” the firm said in a stock exchange filing. Wrogn saw its revenu…",2024-10-17
ADITYA BIRLA CAPITAL LTD.,Birla Digital Fashion invests Rs 75 cr in Wrogn,"Aditya Birla Digital Fashion Ventures Ltd has invested Rs 75 crore in men's wear brand Wrogn, increasing its stake to 32.84%. This follows a Rs 125 crore investment by TMRW House of Brands. Wrogn, targeting men aged 18-30 with bold, casual clothing, saw a rev…",2024-10-17
ADITYA BIRLA CAPITAL LTD.,"Stock Market Highlights: Sensex, Nifty settle lower on FII selling; Bajaj Auto plummets 13%; Hyundai IPO sails through","Sensex, Nifty, Share Prices LIVE: Indian equity benchmarks witnessed a sharp sell-off on Thursday, with the Sensex plunging nearly 500 points and Nifty falling below the 24,750 mark, primarily dragged down by auto stocks, following Bajaj Auto’s weak festival …",2024-10-17
ADITYA BIRLA CAPITAL LTD.,Volumes jump at Aditya Birla Sun Life AMC Ltd counter,"Aditya Birla Sun Life AMC Ltd witnessed volume of 68.07 lakh shares by 14:14 IST on NSE, a 23.71 times surge over two-week average daily volume of 2.87 lakh shares",2024-10-16
ADITYA BIRLA CAPITAL LTD.,Rallis India Ltd leads gainers in 'A' group,"Aditya Birla Sun Life AMC Ltd, Railtel Corporation of India Ltd, HDFC Asset Management Company Ltd and Sterling & Wilson Renewable Energy Ltd are among the other gainers in the BSE's 'A' group today, 16 October 2024.",2024-10-16
